,samples,urls
0,SRR040000_SR040999,http://downloads.ihmpdcc.org/data/HMR16S/SRR040.tar.bz2
1,SRR041000_SR041999,http://downloads.ihmpdcc.org/data/HMR16S/SRR041.tar.bz2
2,SRR042000_SR042999,http://downloads.ihmpdcc.org/data/HMR16S/SRR042.tar.bz2
3,SRR043000_SR043999,http://downloads.ihmpdcc.org/data/HMR16S/SRR043.tar.bz2
4,SRR044000_SR044999,http://downloads.ihmpdcc.org/data/HMR16S/SRR044.tar.bz2
5,SRR045000_SR045999,http://downloads.ihmpdcc.org/data/HMR16S/SRR045.tar.bz2
6,SRR046000_SR046999,http://downloads.ihmpdcc.org/data/HMR16S/SRR046.tar.bz2
7,SRR047000_SR047999,http://downloads.ihmpdcc.org/data/HMR16S/SRR047.tar.bz2
8,SRR048000_SR048999,http://downloads.ihmpdcc.org/data/HMR16S/SRR048.tar.bz2
9,SRR049000_SR049999,http://downloads.ihmpdcc.org/data/HMR16S/SRR049.tar.bz2
10,SRR050000_SRR059999,http://downloads.ihmpdcc.org/data/HMR16S/SRR050.tar.bz2
